,SLC17A7|EN,SATB2|EN,RBFOX3|EN,GAD1|IN,GAD2|IN,AQP4|Astro,GFAP|Astro,PLP1|Oligo,MOBP|Oligo,PDGFRA|OPC,CSF1R|Micro,DCX|Immature,subtype,age_years,cohort,n_cells,agebin,EN_marker_mean,contam_marker_mean,EN_minus_contam
Donor_100__EN_L2_3_IT,4.013117914206658,6.210187683929236,5.856815363439898,1.692209858545148,1.1469552507630434,2.203562075847475,1.3916442691673812,3.204148220656322,2.5612147720309286,0.28946855719060327,0.5909604346352676,4.093543955226565,EN_L2_3_IT,21.0,PsychAD-V3,442,20+,5.360040320525265,1.6350204298545208,3.725019890670744
Donor_100__EN_L3_5_IT_2,4.5490410982419025,6.1899027956253905,5.425910849637738,1.906135728438037,1.0678143508788631,2.155946210980778,1.5723649073872195,3.0466464588811357,3.0466464588811357,0.6701381058447081,0.6701381058447081,3.3889634151416703,EN_L3_5_IT_2,21.0,PsychAD-V3,44,20+,5.388284914501678,1.766978790892073,3.6213061236096045
Donor_100__EN_L3_5_IT_3,4.319525582311603,5.941456500199005,5.99175808978856,1.1571860516961878,0.8977110839288918,1.1571860516961878,1.8064722099164794,2.7434042973979764,2.413934863483769,0.0,0.8977110839288918,3.63959684663588,EN_L3_5_IT_3,21.0,PsychAD-V3,39,20+,5.417580057433057,1.3842007052560479,4.0333793521770085
Donor_1010__EN_L2_3_IT,4.189051206664001,6.063511817063195,6.119601678636117,1.6786562125300504,1.2793371094750063,2.09926224365785,1.2500410055229356,3.6222950809706984,2.510489730045892,0.27102721747506364,0.8088137745182454,4.158704065271031,EN_L2_3_IT,30.0,PsychAD-V3,211,20+,5.457388234121105,1.6899902967744678,3.7673979373466366
Donor_1010__EN_L3_5_IT_1,4.728387213100172,6.206450566336907,5.347994893368675,2.058748638453634,0.0,1.3176040659092765,2.058748638453634,3.9694387067423773,2.6859624264423423,0.0,0.0,3.7700948215617935,EN_L3_5_IT_1,30.0,PsychAD-V3,26,20+,5.427610890935251,1.511312809500158,3.9162980814350936
Donor_1010__EN_L3_5_IT_2,4.587956384631115,5.940557993266484,6.078999091532239,1.6262626486139158,1.171891252737359,1.9896436522436791,1.3789649017471979,3.7603253020391447,2.8741684149676257,0.3157946846624268,0.748603648524264,3.336070340706317,EN_L3_5_IT_2,30.0,PsychAD-V3,86,20+,5.53583782314328,1.7332068131919518,3.8026310099513276
Donor_1010__EN_L3_5_IT_3,4.595423350661205,5.772525278963785,6.404542320197291,1.3352269894216802,1.5043158692296839,1.648906268922628,1.648906268922628,3.8245839948623543,2.610353849042846,0.0,1.2385919690190148,3.025582791612906,EN_L3_5_IT_3,30.0,PsychAD-V3,75,20+,5.590830316607427,1.7263606511776044,3.8644696654298225
Donor_1010__EN_L5_6_NP,3.9358524933484076,5.946270725749569,5.844321601230564,2.4645663712742576,1.523035969629815,1.2210516125831088,1.7546637237658067,4.107076341574863,3.165987168303559,0.0,0.0,4.218640347667286,EN_L5_6_NP,30.0,PsychAD-V3,23,20+,5.242148273442847,1.7795476483914263,3.462600625051421
Donor_1010__EN_L6_IT_1,4.382409471854781,6.145721426773064,6.388007617192086,1.5609540297336346,1.0583740592214859,2.508793279563819,1.0583740592214859,3.7690261337724897,3.032915248921853,0.0,0.0,3.62946893076018,EN_L6_IT_1,30.0,PsychAD-V3,20,20+,5.638712838606644,1.623554601304346,4.015158237302297
Donor_1029__EN_L2_3_IT,4.077264969050543,6.142860791815103,6.23353414699522,2.056894043271883,1.444628886747287,2.254134907527891,1.7535636866208062,3.6944742899600578,2.7515261110448685,0.29347669017995953,0.7047030317777124,3.8438507350445374,EN_L2_3_IT,44.0,PsychAD-V3,283,20+,5.484553302620289,1.8691752058913083,3.6153780967289806
