cohort,metric,n,rho_depth_ctrl_age,rho_age_ctrl_depth
Herring-V3,AGG_pos_lin,59,0.3517241379310345,-0.15955581531268268
Herring-V3,AGG_pos_log,59,0.6871420222092345,-0.07644652250146115
Herring-V3,AGG_sign_lin,59,0.33389830508474583,-0.20344827586206898
Herring-V3,AGG_sign_log,59,0.2961426066627703,-0.22378725891291648
Herring-V3,CELL_pos_lin,59,0.326125073056692,-0.10718877849210989
Herring-V3,CELL_pos_log,59,0.6086499123319697,0.190239625949737
Herring-V3,CELL_sign_lin,59,0.30835768556399773,-0.1915254237288136
Herring-V3,CELL_sign_log,59,0.6756282875511397,0.06300409117475161
PsychAD-V3,AGG_pos_lin,213,0.27572080339558064,-0.08416927237911687
PsychAD-V3,AGG_pos_log,213,0.4943696742259233,-0.12944782076340958
PsychAD-V3,AGG_sign_lin,213,0.32090621670421043,-0.11906512252850553
PsychAD-V3,AGG_sign_log,213,0.2124572510002707,-0.16974302169923083
PsychAD-V3,CELL_pos_lin,213,0.2367481205341731,-0.06698771362081854
PsychAD-V3,CELL_pos_log,213,0.43020333249718723,-0.04029147553279472
PsychAD-V3,CELL_sign_lin,213,0.28695289352053066,-0.10497192287919013
PsychAD-V3,CELL_sign_log,213,0.3865527852354827,-0.12851522820577138
U01-V2,AGG_pos_lin,59,0.3686732904734074,-0.4987726475745179
U01-V2,AGG_pos_log,59,0.6420806545879604,-0.13448275862068967
U01-V2,AGG_sign_lin,59,0.40964348334307427,-0.42665108123904155
U01-V2,AGG_sign_log,59,0.44769140853302164,-0.34839275277615434
U01-V2,CELL_pos_lin,59,0.37790765634132095,-0.49526592635885447
U01-V2,CELL_pos_log,59,0.6247808299240212,0.1734073641145529
U01-V2,CELL_sign_lin,59,0.42852133255406205,-0.42665108123904155
U01-V2,CELL_sign_log,59,0.7377556984219756,0.049620105201636476
