dataset,individual,subtype,age,chem,subsource,ncells,log10_total,score_sum,score_mean
Velmeshev,4341,L2-3,12.994520547945205,V2,U01,258,6.295020314488535,1105.4197428209206,890.650498036409
Velmeshev,4341,L4,12.994520547945205,V2,U01,339,6.50714585404675,1082.7841807877737,854.6275122600107
Velmeshev,4341,L5,12.994520547945205,V2,U01,29,5.210144553124945,819.1900520124814,571.6100307232995
Velmeshev,4341,L5-6-IT,12.994520547945205,V2,U01,49,5.684772674047379,941.0528147630374,786.8661467808604
Velmeshev,4341,L6,12.994520547945205,V2,U01,135,6.169698528212843,893.484331374787,722.0923393429987
Velmeshev,4369,L2-3,2.7205479452054795,V2,U01,99,6.048521429853932,1167.2809056719118,1012.088430967676
Velmeshev,4369,L4,2.7205479452054795,V2,U01,384,6.6805430003914195,1181.6937464793587,1027.5691754287484
Velmeshev,4369,L5,2.7205479452054795,V2,U01,28,5.559269671494984,955.9741565504177,804.0653289265597
Velmeshev,4369,L5-6-IT,2.7205479452054795,V2,U01,39,5.762854046246768,1081.8697735578007,967.9036643772785
Velmeshev,4369,L6,2.7205479452054795,V2,U01,53,5.771573518566875,982.3863788516044,767.66603330214
Velmeshev,4426,L2-3,2.2054794520547945,V2,U01,551,6.800475881675484,1058.424473422038,948.1044440730672
Velmeshev,4426,L4,2.2054794520547945,V2,U01,256,6.35915525058589,1074.3439051028781,918.5202575306837
Velmeshev,4426,L5,2.2054794520547945,V2,U01,25,5.374821638471995,880.9177939005926,738.6347022158789
Velmeshev,4426,L5-6-IT,2.2054794520547945,V2,U01,20,5.357128368101668,945.3598931437112,816.3893492071933
Velmeshev,4426,L6,2.2054794520547945,V2,U01,62,5.80514457698947,899.2964279709221,747.0762405633874
Velmeshev,5242,L2-3,14.994520547945205,V2,U01,132,6.309166246503636,999.581976600188,926.9736795860747
Velmeshev,5242,L4,14.994520547945205,V2,U01,210,6.4894503810358914,955.7225962250293,884.1671382164376
Velmeshev,5242,L5,14.994520547945205,V2,U01,113,6.072394393243973,795.5905438146029,677.7780157061842
Velmeshev,5242,L5-6-IT,14.994520547945205,V2,U01,109,6.182988956567112,906.7602863378602,810.7137953183591
Velmeshev,5242,L6,14.994520547945205,V2,U01,210,6.534490755678585,832.5685537654774,741.2082615940669
Velmeshev,5387,L2-3,11.994520547945205,V2,U01,388,6.511311720652911,1146.370339005695,937.9120066536228
Velmeshev,5387,L4,11.994520547945205,V2,U01,694,6.866805701305004,1187.1579928263288,1000.9810313916092
Velmeshev,5387,L5,11.994520547945205,V2,U01,57,5.703314597202932,930.9033920258573,767.1660793129552
Velmeshev,5387,L5-6-IT,11.994520547945205,V2,U01,49,5.762787311250769,1050.3194594495098,896.2974923242946
Velmeshev,5387,L6,11.994520547945205,V2,U01,160,6.257846981288777,994.6747773889579,818.5826224946569
Velmeshev,5408,L2-3,5.994520547945205,V2,U01,347,6.696147754940038,1054.4215408970706,939.0811303263164
Velmeshev,5408,L4,5.994520547945205,V2,U01,344,6.629813834908441,1050.2156954651675,935.702474657048
Velmeshev,5408,L5,5.994520547945205,V2,U01,37,5.711381158529043,792.7810603287727,734.4937056598545
Velmeshev,5408,L5-6-IT,5.994520547945205,V2,U01,280,6.666349471560198,922.7000282296942,816.1836499984371
Velmeshev,5408,L6,5.994520547945205,V2,U01,162,6.310625136562828,877.8864761775951,698.4665825734073
Velmeshev,5538,L2-3,18.994520547945207,V2,U01,85,5.972166722837365,998.7424416265216,901.9828856018605
Velmeshev,5538,L4,18.994520547945207,V2,U01,168,6.24225810036712,979.8240236980582,894.4025597588494
Velmeshev,5538,L6,18.994520547945207,V2,U01,39,5.616362067865839,795.1209348122748,691.6855687236198
Velmeshev,5577,L2-3,20.994520547945207,V2,U01,186,6.451049505022375,1091.5641820418602,1031.0688031637883
Velmeshev,5577,L4,20.994520547945207,V2,U01,351,6.674568788799924,1103.3863712380207,1009.0180914252736
Velmeshev,5577,L5,20.994520547945207,V2,U01,42,5.6854282170733255,858.2460867380506,744.3455261181894
Velmeshev,5577,L5-6-IT,20.994520547945207,V2,U01,56,5.941932603313064,944.9759933271182,859.7715671374673
Velmeshev,5577,L6,20.994520547945207,V2,U01,156,6.344117854381227,919.9462000627143,812.5651208937448
Velmeshev,5879,L2-3,14.994520547945205,V2,U01,289,6.609399626625249,957.2153560894847,901.6669757021813
Velmeshev,5879,L4,14.994520547945205,V2,U01,160,6.236401208265657,970.3849733024381,884.6804671211946
