C3+,C3-,layer,obs_names,individual,cell_class,age_years,sex,source,chemistry,source_chem,n_cells
67242.171564018,60959.993625874464,counts_cpm,10__Astrocytes,10,Astrocytes,-0.13972602739726028,Male,VELMESHEV,V3,VELMESHEV-V3,317
106087.09084647169,35107.52720926541,counts_cpm,10__Excitatory,10,Excitatory,-0.13972602739726028,Male,VELMESHEV,V3,VELMESHEV-V3,4023
67098.38449599003,52567.64060048397,counts_cpm,10__Glia,10,Glia,-0.13972602739726028,Male,VELMESHEV,V3,VELMESHEV-V3,256
90812.15476367735,36339.97918711682,counts_cpm,10__Inhibitory,10,Inhibitory,-0.13972602739726028,Male,VELMESHEV,V3,VELMESHEV-V3,3977
53295.92782162885,72084.23851819705,counts_cpm,10__Microglia,10,Microglia,-0.13972602739726028,Male,VELMESHEV,V3,VELMESHEV-V3,177
82522.5269328413,53164.930021943226,counts_cpm,10__OPC,10,OPC,-0.13972602739726028,Male,VELMESHEV,V3,VELMESHEV-V3,245
67466.53341978199,53157.594185252194,counts_cpm,10__Other,10,Other,-0.13972602739726028,Male,VELMESHEV,V3,VELMESHEV-V3,404
91522.04458560784,38808.38633176342,counts_cpm,11__Excitatory,11,Excitatory,-0.38904109589041097,Female,VELMESHEV,V3,VELMESHEV-V3,8235
69615.12933392801,46230.5010915353,counts_cpm,11__Glia,11,Glia,-0.38904109589041097,Female,VELMESHEV,V3,VELMESHEV-V3,2054
80773.39727183987,37860.799284631496,counts_cpm,11__Inhibitory,11,Inhibitory,-0.38904109589041097,Female,VELMESHEV,V3,VELMESHEV-V3,1692
71461.22506943025,48724.90138786495,counts_cpm,11__OPC,11,OPC,-0.38904109589041097,Female,VELMESHEV,V3,VELMESHEV-V3,100
72191.87979434071,45817.03798747334,counts_cpm,11__Other,11,Other,-0.38904109589041097,Female,VELMESHEV,V3,VELMESHEV-V3,132
82914.43854179837,45796.479277548606,counts_cpm,1798__Astrocytes,1798,Astrocytes,1.7835616438356163,Female,VELMESHEV,V2,VELMESHEV-V2,125
115779.04225004272,26463.464360416147,counts_cpm,1798__Excitatory,1798,Excitatory,1.7835616438356163,Female,VELMESHEV,V2,VELMESHEV-V2,4367
94748.90298577271,33182.53234840391,counts_cpm,1798__Inhibitory,1798,Inhibitory,1.7835616438356163,Female,VELMESHEV,V2,VELMESHEV-V2,1232
104976.94071987737,30871.87283375844,counts_cpm,1798__Other,1798,Other,1.7835616438356163,Female,VELMESHEV,V2,VELMESHEV-V2,650
98147.80687597969,36912.38072875299,counts_cpm,23__Excitatory,23,Excitatory,-0.31232876712328766,Male,VELMESHEV,V3,VELMESHEV-V3,4317
68146.77458531331,48572.10193526144,counts_cpm,23__Glia,23,Glia,-0.31232876712328766,Male,VELMESHEV,V3,VELMESHEV-V3,929
79815.53018985517,36478.32457720202,counts_cpm,23__Inhibitory,23,Inhibitory,-0.31232876712328766,Male,VELMESHEV,V3,VELMESHEV-V3,4802
53015.07767579613,66862.20747419856,counts_cpm,23__Microglia,23,Microglia,-0.31232876712328766,Male,VELMESHEV,V3,VELMESHEV-V3,102
65300.75427999545,49699.55720772911,counts_cpm,23__Other,23,Other,-0.31232876712328766,Male,VELMESHEV,V3,VELMESHEV-V3,228
92800.80178329992,39207.78217113917,counts_cpm,24__Excitatory,24,Excitatory,-0.4273972602739726,Male,VELMESHEV,V3,VELMESHEV-V3,9350
69215.6074566736,48653.82957778677,counts_cpm,24__Glia,24,Glia,-0.4273972602739726,Male,VELMESHEV,V3,VELMESHEV-V3,3319
85532.06655602394,36330.91565654318,counts_cpm,24__Inhibitory,24,Inhibitory,-0.4273972602739726,Male,VELMESHEV,V3,VELMESHEV-V3,516
75079.74479504155,42452.69926103528,counts_cpm,24__Other,24,Other,-0.4273972602739726,Male,VELMESHEV,V3,VELMESHEV-V3,191
91827.49974213459,38597.51725732122,counts_cpm,26__Excitatory,26,Excitatory,-0.40821917808219177,Male,VELMESHEV,V3,VELMESHEV-V3,6706
68445.52651533847,47179.09722104949,counts_cpm,26__Glia,26,Glia,-0.40821917808219177,Male,VELMESHEV,V3,VELMESHEV-V3,1186
