group,n_cells,marker,marker_type,mean_norm,median_norm,frac_nonzero
PSYCHAD_under1y,32257,SLC17A7,EN,0.1632880664351628,0.0,0.1141767678333385
PSYCHAD_under1y,32257,NEUROD2,EN,0.034828836166728015,0.0,0.03701522150230958
PSYCHAD_under1y,32257,NEUROD6,EN,0.02115102464608898,0.0,0.016089530954521498
PSYCHAD_under1y,32257,RBFOX3,EN,0.19085821123288213,0.0,0.20237467836438602
PSYCHAD_under1y,32257,SATB2,EN,0.7341343155574674,0.0,0.1949344328362836
PSYCHAD_under1y,32257,TBR1,EN,0.027147937501525925,0.0,0.03317109464612332
PSYCHAD_under1y,32257,GAD1,IN,2.3722083680602895,1.4699397324709687,0.5891124407105435
PSYCHAD_under1y,32257,GAD2,IN,2.0728414374978006,0.0,0.43311529280466254
PSYCHAD_under1y,32257,SLC32A1,IN,0.14955545622582314,0.0,0.16619648448398797
PSYCHAD_under1y,32257,DLX2,IN,0.048865208131075685,0.0,0.0662181852001116
PSYCHAD_under1y,32257,LHX6,IN,1.4168643266511078,0.7381163271331562,0.5900424714015563
PSYCHAD_1_5y,31343,SLC17A7,EN,0.2985356807405755,0.0,0.19653511150815173
PSYCHAD_1_5y,31343,NEUROD2,EN,0.042565499150259034,0.0,0.05248380818683598
PSYCHAD_1_5y,31343,NEUROD6,EN,0.07494449758700615,0.0,0.03257505663146476
PSYCHAD_1_5y,31343,RBFOX3,EN,0.15498851063383048,0.0,0.1560476023354497
PSYCHAD_1_5y,31343,SATB2,EN,1.3600229491373996,0.0,0.2769039338927352
PSYCHAD_1_5y,31343,TBR1,EN,0.03339668307968709,0.0,0.04852758191621734
PSYCHAD_1_5y,31343,GAD1,IN,1.260732672131377,0.0,0.36544044922311203
PSYCHAD_1_5y,31343,GAD2,IN,0.8856898882795514,0.0,0.2383307277542035
PSYCHAD_1_5y,31343,SLC32A1,IN,0.06575743880325742,0.0,0.06952110519095173
PSYCHAD_1_5y,31343,DLX2,IN,0.017942624098789196,0.0,0.023992598028267875
PSYCHAD_1_5y,31343,LHX6,IN,1.1551878528040795,0.0,0.43381297259356155
PSYCHAD_5_18y,170002,SLC17A7,EN,0.3233981586879463,0.0,0.20138586604863473
PSYCHAD_5_18y,170002,NEUROD2,EN,0.04595707507201067,0.0,0.05502876436747803
PSYCHAD_5_18y,170002,NEUROD6,EN,0.03648656221302961,0.0,0.021552687615439818
PSYCHAD_5_18y,170002,RBFOX3,EN,0.20070778686904142,0.0,0.16349807649321774
PSYCHAD_5_18y,170002,SATB2,EN,1.3490989951616834,0.0,0.2957376972035623
PSYCHAD_5_18y,170002,TBR1,EN,0.03978252480592116,0.0,0.05832284326066752
PSYCHAD_5_18y,170002,GAD1,IN,1.0643067478644972,0.0,0.29726120869166245
PSYCHAD_5_18y,170002,GAD2,IN,0.7803000991036688,0.0,0.20195056528746722
PSYCHAD_5_18y,170002,SLC32A1,IN,0.08669132267983776,0.0,0.07695791814213951
PSYCHAD_5_18y,170002,DLX2,IN,0.016925209321474042,0.0,0.02013505723462077
PSYCHAD_5_18y,170002,LHX6,IN,0.9086087271049341,0.0,0.3823307961082811
WANG_prenatal,52104,SLC17A7,EN,0.21584940982774142,0.0,0.09636496238292645
WANG_prenatal,52104,NEUROD2,EN,0.6371143234484434,0.0,0.20167357592507293
WANG_prenatal,52104,NEUROD6,EN,0.009022215525707667,0.0,0.0036849378166743437
WANG_prenatal,52104,RBFOX3,EN,0.26992811871597017,0.0,0.12131506218332566
WANG_prenatal,52104,SATB2,EN,15.179840198079743,10.710842956992654,0.6242323046215261
WANG_prenatal,52104,TBR1,EN,0.8778185539025366,0.0,0.2401734991555351
WANG_prenatal,52104,GAD1,IN,1.4533818147267588,0.0,0.20896668202057422
WANG_prenatal,52104,GAD2,IN,0.8578498681239787,0.0,0.14553585137417474
WANG_prenatal,52104,SLC32A1,IN,0.07999661812613483,0.0,0.024643021649009673
WANG_prenatal,52104,DLX2,IN,0.12748154953918484,0.0,0.03230078304928604
WANG_prenatal,52104,LHX6,IN,0.9572436761827596,0.0,0.29214647627821283
